Date,Item,Item desc.,Quantity,Ext. quantity, Price , Purchase amount , Amount ,PO number,Entered date,[ItemInventoryCode],NA Item #,Item Desc.,IBPI Price,Unit Difference,Total Difference,Total Savings 
4/26/2023,0CWFM1N3740//,ASM ASSIT MXFN27,1,1, $ 107.23 , $ 107.23 , $ 107.23 ,2916-0,4/26/2023,Parts,#N/A,#N/A,#N/A,,,
6/2/2023,0CWFM1N3740//,ASM ASSIT MXFN27,1,1, $ 107.23 , $ 107.23 , $ 107.23 ,3688-0,6/2/2023,Parts,#N/A,#N/A,#N/A,,,
3/19/2024,0CWFM1P015020,ASM-ASSIST-CR,1,1, $ 187.98 , $ 187.98 , $ 187.98 ,8319-0,3/19/2024,Parts,#N/A,#N/A,#N/A,,,
4/11/2024,0CWFM1P015020,ASM-ASSIST-CR,1,1, $ 187.98 , $ 187.98 , $ 187.98 ,8792-0,4/11/2024,Parts,#N/A,#N/A,#N/A,,,
11/28/2023,0CWFM1P015020,ASM-ASSIST-CR,2,2, $ 187.98 , $ 375.96 , $ 375.96 ,6479-0,11/28/2023,Parts,#N/A,#N/A,#N/A,,,
1/29/2024,0CWFM1P015020,ASM-ASSIST-CR,1,1, $ 187.98 , $ 187.98 , $ 187.98 ,6977-0,1/29/2024,Parts,#N/A,#N/A,#N/A,,,
1/29/2024,0CWFM1P015020,ASM-ASSIST-CR,1,1, $ 187.98 , $ 187.98 , $ 187.98 ,7106-0,1/29/2024,Parts,#N/A,#N/A,#N/A,,,
4/1/2024,0JEC3A26147//,Sharp Cover Guide After,1,1, $ 28.86 , $ 28.86 , $ 28.86 ,8532-0,4/1/2024,Parts,#N/A,#N/A,#N/A,,,
3/29/2024,0JED6864358//,STD FENCE UPPER MXFN29,1,1, $ 25.59 , $ 25.59 , $ 25.59 ,8418-0,3/29/2024,Parts,#N/A,#N/A,#N/A,,,
8/15/2023,0PPB8303503//,GATHERING ROLLER:SPONGE,2,2, $ 5.45 , $ 10.90 , $ 10.90 ,4777-0,8/15/2023,Parts,#N/A,#N/A,#N/A,,,
8/15/2023,0PPC3193417//,TRAY MXFN25,1,1, $ 60.93 , $ 60.93 , $ 60.93 ,4777-0,8/15/2023,Parts,#N/A,#N/A,#N/A,,,
2/7/2024,101K74590,HDD ASY,1,1, $ 215.00 , $ 215.00 , $ 215.00 ,7606-0,2/7/2024,Parts,#N/A,#N/A,#N/A,,,
4/18/2023,101R00554,Xerox VersaLink B400 B405 Drum Unit,1,1, $ 31.09 , $ 31.09 , $ 31.09 ,3150-0,4/18/2023,Parts,#N/A,#N/A,#N/A,,,
4/18/2023,101R00554,Xerox VersaLink B400 B405 Drum Unit,1,1, $ 31.09 , $ 31.09 , $ 31.09 ,3150-0,4/18/2023,Parts,#N/A,#N/A,#N/A,,,
10/18/2023,101R00554,Xerox VersaLink B400 B405 Drum Unit,2,2, $ 31.09 , $ 62.18 , $ 62.18 ,5836-0,10/18/2023,Parts,#N/A,#N/A,#N/A,,,
1/17/2024,105E15191,24 LVPS,1,1, $ 101.23 , $ 101.23 , $ 101.23 ,7067-0,1/17/2024,Parts,#N/A,#N/A,#N/A,,,
1/22/2024,105E26000,POWER SUPPLY-L,1,1, $ 160.59 , $ 160.59 , $ 160.59 ,7251-0,1/22/2024,Parts,#N/A,#N/A,#N/A,,,
5/10/2023,106R01486,Xerox WC3210 High Yld Black Toner,4,4, $ 17.00 , $ 68.00 , $ 68.00 ,3463-0,5/10/2023,Supplies,#N/A,#N/A,#N/A,,,
